"stimulus","condition","response_correct","response_time"
"5NFM","volume_65","correct",3.07015055312758
"pU","volume_79","incorrect",2.85705425129327
"cdJV7","volume_23","correct",2.89519309161996
"6","volume_51","incorrect",2.98144189956968
"4rTSL","volume_14","incorrect",2.95877380856659
"1oK","volume_79","correct",2.95612466355023
"4nOm","volume_10","correct",3.20112822480907
"XZBOY","volume_96","incorrect",3.00937065382114
"Xn","volume_12","correct",2.78341525868611
"aNqeH","volume_85","incorrect",3.36116930635958
"QAUYA","volume_60","incorrect",3.12577805545746
"CO","volume_50","correct",2.97657423500166
"x","volume_28","correct",3.43303279208061
"0","volume_22","correct",3.02481472170557
"Yb7N","volume_75","incorrect",3.30338444120765
"wm","volume_70","incorrect",3.03395085157471
"F","volume_52","incorrect",3.0461060467746
"JK","volume_90","incorrect",2.79127401881797
"qOi","volume_86","correct",2.94491848611114
"qCM","volume_53","incorrect",3.26853209464955
"Mlp","volume_25","incorrect",3.05657539948304
"sB7aZ","volume_8","correct",3.03112448631124
"940Il","volume_33","incorrect",2.90445219805906
"AQ","volume_53","correct",2.92147041525798
"f","volume_94","incorrect",3.14931421995681
"klsZ","volume_18","correct",2.94083164698987
"7","volume_48","incorrect",2.9236488933216
"uw","volume_84","incorrect",2.58234923388518
"6VQt","volume_98","incorrect",2.98115958245927
"7MQRU","volume_59","correct",2.92259796558844
"a699","volume_21","correct",2.7197424774535
"Km","volume_61","incorrect",2.81152577118058
"aq7","volume_89","correct",2.90940498279951
"PS","volume_7","incorrect",2.94209762302351
"98kkW","volume_41","correct",3.23265541641908
"SMd","volume_55","correct",2.8422263793989
"WX","volume_31","incorrect",2.84849843399167
"LIbL2","volume_1","correct",2.97468625866581
"R","volume_11","incorrect",3.02432605264384
"HCN","volume_27","incorrect",3.04124877676585
"W6","volume_15","correct",3.19612374262983
"DFYb","volume_28","correct",2.88186095951461
"g7xQ0","volume_37","correct",3.21281388893672
"oanxv","volume_58","incorrect",3.01523392131884
"PU7Cy","volume_58","correct",2.88469099693363
"8J","volume_54","correct",3.05796986492595
"wF6VF","volume_66","incorrect",3.17842518892312
"DtmS","volume_21","incorrect",2.95602695840262
"f","volume_52","incorrect",2.85622433531583
"1fs0C","volume_48","correct",2.76177931353566
"gyQd","volume_90","incorrect",3.22054348929716
"MavCz","volume_20","correct",3.23381610449573
"nwQi","volume_16","correct",2.98439009712405
"5u","volume_78","incorrect",2.83832860617017
"i6b6H","volume_69","incorrect",3.27497854270839
"6","volume_83","correct",2.92760399962096
"VoM","volume_46","correct",2.71475150434175
"ROP","volume_14","incorrect",2.85223448870427
"LDp","volume_39","correct",2.8282290657789
"zC","volume_15","incorrect",2.79413464985371
"7T","volume_6","incorrect",3.09920549733702
"t","volume_57","correct",3.08377086478705
"M3","volume_34","incorrect",3.06263063746766
"0UCop","volume_94","incorrect",3.18935800770411
"3JM4n","volume_18","correct",2.72377816399817
"StZT","volume_99","incorrect",2.81844278597686
"5s","volume_43","incorrect",3.0399939378084
"7RYu","volume_91","incorrect",3.29963463651456
"HV","volume_42","incorrect",3.06425736599983
"HL1A","volume_2","incorrect",3.06445530180633
"EHn","volume_28","correct",3.58932183455742
"Vy","volume_77","correct",3.01385028163394
"wfH","volume_56","correct",3.26303696441711
"M","volume_30","correct",2.99372800488737
"CJp9R","volume_5","incorrect",3.21169325556335
"BMDXs","volume_97","correct",3.11855179188967
"pwOkq","volume_60","incorrect",2.7712595770227
"X","volume_20","incorrect",2.93735085708912
"lSUO","volume_57","correct",2.74441431116794
"dg","volume_54","incorrect",3.2731547172881
"3IV","volume_44","correct",2.78897550443654
"BdEQ","volume_13","incorrect",3.11493137117571
"X","volume_17","correct",3.31454098673603
"ZO1ug","volume_70","incorrect",3.0112158303108
"kO","volume_35","incorrect",2.90131681943358
"kKjp","volume_54","correct",2.99564352988368
"oXHC","volume_50","incorrect",2.89522581829064
"pR","volume_78","correct",2.72083311665947
"4","volume_46","incorrect",3.139006984871
"OVY","volume_16","correct",2.96031966534394
"NccB","volume_53","correct",2.719555352264
"yhmw","volume_47","incorrect",3.0114349249185
"GQ","volume_70","correct",3.17784499534424
"i","volume_35","incorrect",2.92866367173168
"b","volume_61","correct",2.81304868807069
"P8q","volume_68","incorrect",3.2467134864138
"gtS","volume_2","incorrect",2.83443226604333
"gPE","volume_75","incorrect",2.7607961757573
"9","volume_38","incorrect",2.97438177512674
"q3X","volume_62","correct",3.24118655327067
"O","volume_6","correct",3.1519897334016
"eeR","volume_76","incorrect",2.8806233337045
"A","volume_77","correct",2.86863518736052
"Z5W","volume_51","incorrect",3.02880211101651
"Sp","volume_19","correct",3.02612373579383
"Arryw","volume_47","incorrect",3.15043731618239
"PT","volume_79","incorrect",3.03574990663585
"G","volume_17","incorrect",3.0513930482
"TxL","volume_14","correct",2.95420147658733
"Gr","volume_68","correct",3.17008477330426
"XgWX","volume_96","correct",2.8342323244109
"wyIt","volume_56","incorrect",3.0942465601663
"l6t","volume_81","correct",3.14420574782207
"bh","volume_77","incorrect",3.08681788090055
"YLfWY","volume_62","incorrect",2.97916895612567
"fu","volume_50","correct",2.88522293303529
"ol5V4","volume_24","correct",2.8946350493707
"SJh","volume_40","correct",3.09795680509138
"w","volume_87","incorrect",3.05364514502139
"E","volume_6","incorrect",2.97467061664489
"wMB1","volume_29","correct",2.7717728475972
"cO","volume_39","correct",3.10757208996746
"9","volume_48","incorrect",3.01124094119981
"hu20o","volume_4","correct",2.67546139845406
"Y17V","volume_10","correct",2.98921512141431
"o","volume_55","correct",2.87766333643455
"a","volume_97","correct",3.07915317051949
"aMH3","volume_49","incorrect",3.3749930947693
"Px8","volume_98","incorrect",2.98620583593055
"UiIBe","volume_3","incorrect",3.18031851016955
"cXt1X","volume_85","incorrect",3.13882449568897
"7CF","volume_29","incorrect",2.98000482006834
"4d","volume_2","correct",3.37523283683535
"r","volume_80","correct",2.97898684955851
"p6Y","volume_97","correct",3.0512468476482
"5GP0M","volume_22","incorrect",3.3450409793495
"D","volume_95","incorrect",3.10069501107006
"HXVV","volume_9","correct",3.08440470560961
"x","volume_61","incorrect",2.85031992961387
"5","volume_19","correct",3.03840246809891
"lv","volume_32","correct",3.44293931199687
"97W","volume_86","correct",2.94741404643545
"D5","volume_16","correct",3.10847638954695
"B","volume_81","incorrect",3.01973014297723
"1c4","volume_9","incorrect",3.09382715040012
"vGZL","volume_87","incorrect",3.17660537089061
"hcNmZ","volume_54","correct",3.11402173932022
"GK3","volume_86","correct",2.96711587148116
"ZC","volume_49","correct",3.09648207696968
"Y","volume_51","correct",2.75991472488194
"04nH","volume_45","incorrect",2.94863425082981
"sQik","volume_69","correct",3.26427503517243
"iUIqD","volume_86","incorrect",2.59331196902066
"RmoW","volume_32","incorrect",3.05560876323076
"9","volume_38","correct",2.99665867203039
"cKf0t","volume_52","correct",2.91658391989529
"L","volume_8","correct",2.76437197444947
"N8Xj","volume_31","incorrect",2.77082073953066
"U","volume_27","correct",2.97241772412719
"s","volume_82","correct",2.72879241330165
"1W","volume_5","correct",2.8798848304954
"rg","volume_8","correct",3.17019046610138
"ACv","volume_29","incorrect",2.86604534632295
"PSaj","volume_24","correct",3.02913164520171
"P","volume_44","correct",3.24420378486281
