"CASE","gender","education","age","agree","conscientious","extra","neuro","open"
"62642",2,1,15,4.6,4.4,3.8,1.8,4.2
"63245",1,1,34,4.8,4.8,4.6,3,4.6
"65307",1,1,19,4.6,4.8,3.8,1.2,4.2
"63404",1,1,38,4,4.4,4,4.4,3.5
"65195",1,1,15,4.6,4,3.4,4.2,3.8
"64349",2,1,21,5.2,3.4,3.4,1.6,3.4
"67530",2,1,21,4.6,3.8,3.8,4,4
"64516",2,1,31,4.4,3.4,3.6,1.6,4.6
"62545",2,1,26,3.6,3.2,4.8,5.8,4
"62170",2,1,18,5.4,3.6,4,2.2,4.2
"63334",2,1,17,4.75,4.8,3.8,3.6,3.6
"63888",2,1,16,3.6,3,3,4.6,3.6
"63618",2,1,28,4.8,4.2,4.4,4.2,4.6
"65818",1,1,39,5,3.6,3.8,2.6,4.2
"64079",2,1,18,1.8,4.2,4.4,3.8,5
"62055",2,1,18,4.4,2.8,4,3.4,3
"65359",1,1,23,3.4,4.2,3.2,4.8,3.8
"64217",1,1,35,4.2,3.6,3.6,3,4
"64144",1,1,19,2.4,3,3,4,3
"64605",2,1,18,4.2,4.4,4.2,5.8,4
"63383",2,2,46,4.8,3.6,4.5,2.2,4.2
"67395",2,2,32,4.4,4.8,2.8,5.2,5.2
"63803",2,2,38,4.8,4.2,3.4,1.8,3.6
"61764",2,2,48,4.4,4.4,3.2,2.4,3.6
"65687",2,2,28,4.6,3.8,4.8,5.6,4.6
"66911",1,2,21,4.2,4.2,4.25,1.6,3.2
"62183",2,2,30,4.2,4.4,3.8,1.2,3.6
"64843",2,2,27,4.8,3.6,4,1.6,3.8
"64324",1,2,26,4.8,4.6,4,4,5
"64557",1,2,23,3.4,4,3.4,3.6,4
"67505",1,2,33,4.4,3.4,3,4,3.4
"65295",2,2,40,4.2,3.6,3,4,3.8
"61740",2,2,50,4,4.6,3.2,3.8,3
"66013",2,2,41,4.8,3.8,4,3.6,4.8
"65841",2,2,49,5.4,3.8,4.2,4,4.8
"66475",1,2,29,3.2,4.8,2.6,4,5.4
"63980",2,2,40,3.8,4,3.2,2.8,3.8
"66968",2,2,19,3.2,5,3.2,4.8,4.2
"64242",1,2,43,4.4,3.4,3.6,1.4,3.6
"61702",1,2,22,4,4,3.8,3.8,3.6
"63242",2,3,32,4.4,3.4,2.8,1.4,3
"65362",1,3,39,3.8,3.5,3,2.5,3
"66329",2,3,20,4.4,3.4,4,2.2,3.6
"64937",2,3,18,4,4,4,3,3.8
"64656",2,3,19,5.2,4.6,3.8,3.6,4.4
"61909",1,3,25,4.2,4.2,4,5,4
"63982",2,3,20,3,4.4,2.8,2.6,3.6
"61852",2,3,27,4.8,3.4,4.8,5.6,4.6
"66058",2,3,20,4.8,3.6,3.2,2,3.4
"62216",2,3,30,2.6,3.8,3.4,2.6,4.2
"62237",1,3,19,4.4,4.2,4,3.4,3.6
"66281",2,3,19,4.8,3.2,4.2,2,3.8
"62130",1,3,19,4,4.2,4,1.8,3.6
"66204",2,3,19,4.2,3.2,3.2,1.8,4.2
"65166",2,3,31,4.8,3.8,3.4,2.6,4
"61756",2,3,26,4.2,4,3.8,3,3.2
"66294",1,3,19,4.4,3.4,3.6,1.4,3.8
"66246",2,3,19,3.8,2.8,3.8,2,4.2
"62156",1,3,24,3.4,3.4,3.6,2.2,3.2
"65932",2,3,29,5,4,3.4,3.6,3.8
"66711",2,4,34,5,3.8,4,3.2,4
"63752",2,4,30,4.4,4.4,4.4,3,4.6
"67104",1,4,28,4.8,3.8,4,3,4.2
"66382",2,4,34,3.2,3.8,3.8,2.8,3.6
"64152",2,4,29,4.4,3.4,4.4,1.6,3.8
"62644",2,4,24,4.6,3.8,4,4.8,3.6
"63644",2,4,41,4.4,4.6,3.6,5.8,4.4
"66410",1,4,30,2.8,4.4,3.6,4.2,3.8
"63464",1,4,41,4.4,3.8,4.4,2.8,4
"65727",1,4,22,4.6,5.8,4.4,6,5.8
"64606",2,4,24,3.8,3.6,3.2,4.2,4
"62543",1,4,48,4.6,3.75,4.2,2.2,3.6
"66886",1,4,35,5,3.8,3.5,1,3.8
"66225",1,4,26,3.6,4,3.8,1.4,4.2
"65052",2,4,30,4,3.25,3.6,3,3.6
"65421",2,4,23,4.8,4.2,3.8,4.8,4
"62757",2,4,40,4.6,3.8,3.8,3.5,4
"66108",2,4,33,3.4,3.4,3,4.4,3.2
"66869",2,4,31,4.2,3.2,3,2.4,4
"63746",2,4,53,5,4,4.4,5.2,3.8
"66982",2,5,45,4.6,3.6,3.4,2.4,3.8
"66615",1,5,41,4.2,3.6,4.25,2.2,3.6
"63835",1,5,56,4.8,4,4.4,1,3.5
"63649",1,5,47,3.8,4,3,3,4
"62401",2,5,23,4.2,3.2,3.6,2.4,3.4
"65671",2,5,50,4.4,2.6,3.8,1.6,3.8
"61661",1,5,68,4.6,3.6,2.4,2,3.8
"64100",2,5,24,4.2,4,3.4,4,3.4
"64917",2,5,47,4.6,4.25,3.8,3,4.4
"67096",1,5,23,4.4,3.6,3.6,2,3.8
"66094",2,5,50,4.6,4,3.4,3,3.4
"67284",1,5,44,4.2,3,3.6,4,4
"65977",2,5,29,4.4,3.6,3.2,4,3.6
"62060",1,5,48,2.4,2.2,3.4,2,2.6
"67346",2,5,23,4.4,4,3.8,2.8,3.4
"65391",2,5,52,5,3.4,3.8,1.4,3.4
"66718",2,5,37,4.2,3.6,5,4.2,3.5
"65407",2,5,38,3.8,2.8,2.8,3.6,3.6
"64226",1,5,29,2.8,3.6,3.2,3.75,4.4
"61896",1,5,25,4.8,3.8,3.6,2.8,3.6
